market_name,listing_title,price,dosage,rating,review,description,number_in_stocks,original_url,category_page,fetched_at,matched_categories,matched_terms,matched_terms,matched_categories
Black Ops,PROGESTERONE (Prometrium) 100mg tabs,$170.00 - $90.00,100mg | 58 G | 28 G,,,What is progesterone? Progesterone is a naturally occurring hormone important for the regulation of ovulation and menstruation. Progesterone is produced in high amounts in females by the ovaries. It is also produced in smaller amounts by the adrenal glands both males and females. Progesterone is used to cause me…,,http://blackops3zlgfuq4dg4yrtxoe57u3sxfa34kqzbooqbovutleqhf3zqd.onion/product/422707f3-a2c1-41a0-b9cc-16881ad3f59d,http://blackops3zlgfuq4dg4yrtxoe57u3sxfa34kqzbooqbovutleqhf3zqd.onion/products/prescription?page=3,1780944634,contraception,Progesterone,Progesterone,contraception
Black Ops,Norethisterone Enanthate 50 mg + Estradiol Cypionate 10 mg / 1mL 10 mL Vial (mesigyna) (progesterone) (estrogen),$110.00 - $25.00,10 mg | 51 G | 00 G,,,"Norethisterone Enanthate 50 mg + Estradiol Cypionate 10 mg per 1 mL in a 10 mL Vial. Active Drug Information: Once or twice a week injection frequency Intramuscular half life: 7 days For more information on the active drug, please utilize online resources to aid in HRT for dosing and side effects. Made with: …",,http://blackops3zlgfuq4dg4yrtxoe57u3sxfa34kqzbooqbovutleqhf3zqd.onion/product/ed850b2b-8390-4717-aa9c-df0c6fcff414,http://blackops3zlgfuq4dg4yrtxoe57u3sxfa34kqzbooqbovutleqhf3zqd.onion/products/prescription?page=13,1781018423,contraception,Estradiol; Norethisterone; Progesterone,Estradiol; Norethisterone; Progesterone,contraception
Black Ops,mifegest kit (generic misoprostol and mifepristone) 5 tablets,$100.00,91 G | 17 G | 200mg,,,"Mifegest kit Active ingredient: Misoprostol 200mcg Active ingredient: Mifepristone 200mg Form: Tablets Short description: Misoprostol increases the uterus contraction and dilates the cervix, that results in expelling the pregnancy. Thus, the combination of Mifepristone and Misoprostol causes termination of…",,http://blackops3zlgfuq4dg4yrtxoe57u3sxfa34kqzbooqbovutleqhf3zqd.onion/product/3ef6f168-4922-405b-a102-a252e333e3a9,http://blackops3zlgfuq4dg4yrtxoe57u3sxfa34kqzbooqbovutleqhf3zqd.onion/products/prescription?page=7,1780945844,abortion,Mifegest; Mifepristone; Misoprostol,Mifegest; Mifepristone; Misoprostol,abortion
Black Ops,PG - DIANE 35 - BAYER,$10.00,91 G | 17 G,,,BRAND: Bayer Schering ACTIVE INGREDIENT: Ethinylestradiol PACKAGE: 21 tabs FORM: Oral 🔹 INFORMATION YOU MUST READ BEFORE PLACING AN ORDER 🔹 - Please don’t forget to pay the shipping fee otherwise your order will be cancelled - We offer a 100% free reshipment guarantee for the US and UK. - All products with ‘P…,,http://blackops3zlgfuq4dg4yrtxoe57u3sxfa34kqzbooqbovutleqhf3zqd.onion/product/858a6f64-ad14-4e0f-8f36-8fb6b8f9bb53,http://blackops3zlgfuq4dg4yrtxoe57u3sxfa34kqzbooqbovutleqhf3zqd.onion/products/prescription?page=8,1780945990,contraception,Ethinyl estradiol; Ethinylestradiol,Ethinyl estradiol; Ethinylestradiol,contraception
Black Ops,PG - YAZZ - BAYER,$25.00,02mg | 43 G | 3mg,,,"BRAND: Bayer ACTIVE INGREDIENT: Ethinyl Estradiol , Drospirenone PACKAGE: 28 tabs (3mg+0.02mg) FORM: Oral 🔹 INFORMATION YOU MUST READ BEFORE PLACING AN ORDER 🔹 - Please don’t forget to pay the shipping fee otherwise your order will be cancelled - We offer a 100% free reshipment guarantee for the US and UK. - …",,http://blackops3zlgfuq4dg4yrtxoe57u3sxfa34kqzbooqbovutleqhf3zqd.onion/product/a73a60f2-76dd-4f5e-bc26-28b597333f3a,http://blackops3zlgfuq4dg4yrtxoe57u3sxfa34kqzbooqbovutleqhf3zqd.onion/products/prescription?page=96,1780947491,contraception,Drospirenone; Estradiol; Ethinyl estradiol,Drospirenone; Estradiol; Ethinyl estradiol,contraception
Drug Hub,Methotrex 5mg (generic methotrexate) 50 tablets,,2 G | 48g | 2g,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/18e07483/39b143a2/b4aafa30?page=1,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/39b143a2/b4aafa30?page=1,1781116988,abortion,Methotrexate,Methotrexate,abortion
Drug Hub,"Mifepristone 200 mg, Misoprostol 200 mcg; 5 tablets kit",,17 g | 200 mg | 2 G,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/a954dd7b/39b143a2/b4aafa30?page=1,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/39b143a2/b4aafa30?page=1,1781203189,abortion,Mifepristone; Misoprostol,Mifepristone; Misoprostol,abortion
Drug Hub,progynova 1mg (generic estradiol) 28 tablets,,98 g | 2 G | 48g,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/05dd13c3/39b143a2/b4aafa30?page=1,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/39b143a2/b4aafa30?page=1,1781203683,contraception,Estradiol,Estradiol,contraception
Drug Hub,cytoheal 200mcg (generic misoprostol) 50 tablets,,2 G | 48g | 2g,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/64d73e2f/39b143a2/b4aafa30?page=40,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/39b143a2/b4aafa30?page=40,1781217147,abortion,Misoprostol,Misoprostol,abortion
Drug Hub,YASMIN 21 tabs (3mg+0.03mg) - Bayer,,03mg | 2 G | 48g,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/a59084af?page=0,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/?search_terms=Ethinyl%20estradiol&search=simple,1781636116,contraception,Yasmin,Yasmin,contraception
Drug Hub,loette (generic ethinylestradiol and levonorgestrel) 42 tablets,,02mg | 2 G | 48g,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/16176ee9?page=0,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/?search_terms=Ethinylestradiol&search=simple,1781634486,contraception,Ethinyl estradiol; Ethinylestradiol; Levonorgestrel,Ethinyl estradiol; Ethinylestradiol; Levonorgestrel,contraception
